技名,キャンセル,ダメージ,ガード,発生,持続,硬直,全体,ヒット硬直差,DRヒット硬直差,ガード硬直差,DRガード硬直差,無敵,備考,
エレクトリックサンダー,CA,800,上,10,2（3）2（3）2,17,38,D,,-3,,,
ODエレクトリックサンダー,CA,1000,上,10,2（3）2（3）2,17,38,D,,+4,,,
弱ローリングアタック,CA,1000,上,10,11,11,31,D,,-23,,,
中ローリングアタック,CA,1200,上,12,19,11,41,D,,-23,,,
強ローリングアタック,CA,1300,上,22,端到達まで,25,,D,,-15,,,
ODローリングアタック,CA,800,上,18,端到達まで,17,,D,,-7,,,
弱バーチカルローリング,,1200,上,8,19,48,74,D,,-27,,,
中バーチカルローリング,,1300,上,8,19,48,74,D,,-27,,,
強バーチカルローリング,,1400,上,8,19,48,74,D,,-27,,,
ODバーチカルローリング,,1600,上,7,8（2）6,48,70,D,,-40,,1～10F無敵,
弱バックステップローリング,,1000,上,41,24,5,69,+10,,+4,,,
中バックステップローリング,,1000,上,41,27,5,72,+10,,+4,,,
強バックステップローリング,,1000,上,41,29,5,74,+9,,+5,,,
ODバックステップローリング,CA,1000,上,41,5（28）21（1）4,4,70,D,,+6,,,
エリアルローリング,,1000,上,13,着地まで,17,,D,,-8,,,
ODエリアルローリング,,1200,上,13,着地まで,14,,D,,+3,,,
弱ワイルドハント,,1600,投げ,34,3,57,93,D,,,,,
中ワイルドハント,,1700,投げ,39,3,57,98,D,,,,,
強ワイルドハント,,1800,投げ,43,3,57,102,D,,,,,
ODワイルドハント,,2000,投げ,32,3,57,91,D,,,,,
ローリングキャノン,,400,上,3,着地or端到達まで,9,,D,,,,,
